title,name,creator,art_series,price,type,likes,tokens,year,cid
The First Aliens,Bluun discovers cold.,tanzofett,tanzofett_the-first-aliens_bluun-discovers-cold,2.5,PHOTO,1,10,2020,QmXX3faKTW6aDirMSrboQJDjiYpBuTgxT5n4zdGZ2f1XJt
Psychedelic art,pleasure,noahfromearth,noahfromearth_psychedelic-art_pleasure,2.5,PHOTO,0,10,2021,Qmc3F4DvyZjArVjb6ZCkrwA4b1VRWrA6eQiTqJDAmbPsja
Alexei x Mama ,Pig Monkey,nikkinicole,nikkinicole_alexei-x-mama_pig-monkey,3,VIDEO,0,40,2021,QmRsJ24N4YhTLB4gSoyHFgrxdPBtdLGLbHc6pL9r2jxaHr
NEW GENESIS,"NFT - Super Cheap by Richard F. Yates (HF)""",richardfyates,richardfyates_new-genesis_nft-super-cheap-by-richard-f-yates-hf,3,PHOTO,0,41,2021,QmaUMncnEe1WXAAAQd4uZ7hY6eSBvt9WHWLqhVvocgK2Mx
Talisman Animations,"Sigil: The Antidote for Covid-19"" Deciphered In Green Language""",in2itiveart,in2itiveart_talisman-animations_sigil-the-antidote-for-covid-19-deciphered-in-green-language,3.69,GIF,0,9,2020,QmPeFTL5Dy4pd929Cm3uHsVHpw2VtrRbuB3Fo6TkUSk2Me
Crypto-Art,"Hive-Spiracy, Join The Cult!",julesquirin,julesquirin_crypto-art_hive-spiracy-join-the-cult,4,PHOTO,1,20,2020,QmdZVxv4zjTHPuYDXmq7G9Gas9Nsv8tiAoLQjkmeBbLz4q
Conatóris,Conatóris,warnas,warnas_conatoris_conatoris,4,PHOTO,0,5,2020,QmQRQbvR58xB9nwEgLTvMXm6W4PQBz9tjH3wdEwbXQ4r6m
Street Series V.1,#006 - Free Myanmar,tonalspace,tonalspace_street-series-v1_006-free-myanmar,4,VIDEO,0,30,2021,QmWeXm6v1o3WAXBU7LZaotwNX6RnTr5LNqQRKCwrEMquBe
The Diamond Hands,The Diamond Hands of Doge,tych021,tych021_the-diamond-hands_the-diamond-hands-of-doge,4.5,PHOTO,1,5,2021,QmYLuSAoQXB7bRMjsTkHcY6RmwLBfnzvfSn4ahzGZATAMC
Psychedelic art,essence,noahfromearth,noahfromearth_psychedelic-art_essence,4.9,PHOTO,0,5,2021,QmcCApW7BTAtDrhJXRz58ZneBWLHueqPyWCKAfRE84F1Ng
Logo Design,Logo Idea 1,julesquirin,julesquirin_logo-design_logo-idea-1,5,VIDEO,0,7,2020,QmURBQ8zUyAhnig6m7RjLg7tnNk5XpH1j5F4rs2xSgzeif
Trash for Life (In the Haunted Honeycomb),"Virtually Worthless(*) NFT by RFY""",richardfyates,richardfyates_trash-for-life-in-the-haunted-honeycomb_virtually-worthless-nft-by-rfy,5,PHOTO,5,53,2020,QmTqXu6RWYTkKGrvKveVNMhamanRCPNGQDCsQ6wPrgcKfP
Psicadelic,Hippie Sheep,warnas,warnas_psicadelic_hippie-sheep,5,PHOTO,2,5,2020,QmacyENCf3cF928JRHQhPqUfEEocxHGfAhdQ4szHQyoXBk
Dark Souls,Selfish Love,warnas,warnas_dark-souls_selfish-love,5,PHOTO,1,5,2020,QmX1qfM319xXWmLhmxbQMdr8jk8s62Fm2q9YtBrwtWkvQg
Dark Souls,Little Demon,warnas,warnas_dark-souls_little-demon,5,PHOTO,0,5,2020,QmTw4ZeYHxHThLgDdShSMkxmivDyYZ1jqemeDot7t3BCfK
Boat by the lake,Boat by the lake,andrianna,andrianna_boat-by-the-lake_boat-by-the-lake,5,PHOTO,0,3,2020,QmS9mnBf5MFuaQQHjHmqSRT9NHvyMAdFR5yMzZxWjLS2Ad
Magnificent sunset,Magnificent sunset,andrianna,andrianna_magnificent-sunset_magnificent-sunset,5,PHOTO,1,5,2020,QmPCpN4jNoDQ2bSndmuoyhgcEesV2qu1LjPpRfYxPYW6Mr
COVIDISM,COVIDISM,stayoutoftherz,stayoutoftherz_covidism_covidism,5,GIF,0,10,2020,QmNuue6rR8nKMNFCeGgA8CAv2DC4ARRb1uM8CbywJGLG29
Unsorted,Tiny Marshmallows,lacking,lacking_unsorted_tiny-marshmallows,5,PHOTO,0,10,2020,Qma6Gmadq87bN871FwVZFakEj27m6NHvWdQCJ8nqsfHN6y
Unsorted,Uncertainty,lacking,lacking_unsorted_uncertainty,5,PHOTO,0,20,2020,Qmd7ZpFUHGJWczYJRrxXsP3raV5Cu8nPKagposSGQzFYoo
2020,Background wallpaper,antisocialist,antisocialist_2020_background-wallpaper,5,PHOTO,1,5,2020,QmcV8dG9fmmTjdVUfatFFoUE2iMV1bhp2ZbWk9MCN6YeJo
𝐚𝐛𝐬𝐭𝐫𝐚𝐜𝐭,Circular glances ,victoriawhitime,victoriawhitime__circular-glances,5,GIF,1,7,2020,QmcrT9xmC291hi45FLGyqosWn5e3rEGw9tGJCAFA1KWzqo
A state of mind,Hustle Hard,thatsweeneyguy,thatsweeneyguy_a-state-of-mind_hustle-hard,5,PHOTO,0,20,2020,QmWNjWgjCGLmrhg1LuaG6LWYF7af8V2FbBVVz3tCnWW78F
Toxic Mask Virginity,Karen's Sister Erin,thoughts-in-time,thoughts-in-time_toxic-mask-virginity_karens-sister-erin,5,GIF,1,18,2021,QmNVApifU55PYtabfRgct7gLSRAoBYx8qYX5Vvqg7LMhr5
Psychelegalactica,Beautiful Void,thebeardflex,thebeardflex_psychelegalactica_beautiful-void,5,PHOTO,0,5,2021,Qmf9G4Jh4xKnFd6re8reRazMFdPitUc1QTmNQ1iCtG51u9
AmphluxArt,sCANLINEhORIZON,amphlux,amphlux_amphluxart_scanlinehorizon,5,GIF,0,2,2021,Qmb7YaXVjjRAXkJDH314unL8YBsY6MNY9HgdTg8izGiaTN
Nature At Its Best,Blowing in the Breeze,steveblucher,steveblucher_nature-at-its-best_blowing-in-the-breeze,5,VIDEO,0,5,2021,QmPTzBnTuN4eXVf6RL6PQsTjtjFgc5QVX7MbuiZpP4v44U
