"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","1,654.13","1,585.51","1,738.86","1,464.12","11.24M","4.35%"
"01/01/2023","1,585.25","1,195.92","1,678.51","1,191.64","14.34M","32.58%"
"12/01/2022","1,195.65","1,293.97","1,348.41","1,152.53","10.59M","-7.63%"
"11/01/2022","1,294.39","1,572.75","1,666.22","1,076.30","22.99M","-17.70%"
"10/01/2022","1,572.86","1,327.78","1,660.00","1,196.64","16.47M","18.37%"
"09/01/2022","1,328.72","1,554.56","1,788.04","1,222.32","22.59M","-14.56%"
"08/01/2022","1,555.18","1,676.56","2,028.43","1,424.49","26.17M","-7.43%"
"07/01/2022","1,680.07","1,071.20","1,781.37","1,012.57","38.63M","57.21%"
"06/01/2022","1,068.66","1,942.49","1,971.05","883.62","40.48M","-44.96%"
"05/01/2022","1,941.78","2,728.62","2,963.50","1,707.56","24.82M","-28.80%"
"04/01/2022","2,727.10","3,285.33","3,579.96","2,715.95","13.11M","-16.92%"
"03/01/2022","3,282.39","2,921.68","3,481.35","2,447.74","18.38B","12.32%"
"02/01/2022","2,922.35","2,686.99","3,276.46","2,302.82","14.05M","8.77%"
"01/01/2022","2,686.66","3,679.41","3,888.86","2,161.68","13.85M","-26.95%"
"12/01/2021","3,677.70","4,630.52","4,778.00","3,561.06","12.91M","-20.59%"
"11/01/2021","4,631.22","4,288.93","4,864.13","3,916.62","12.40M","8.01%"
"10/01/2021","4,287.60","2,998.46","4,459.04","2,972.91","14.35M","42.93%"
"09/01/2021","2,999.86","3,424.29","4,025.06","2,662.50","17.19M","-12.53%"
"08/01/2021","3,429.45","2,530.94","3,468.60","2,445.49","5.87M","35.61%"
"07/01/2021","2,528.85","2,274.99","2,552.09","1,719.48","1.41M","11.16%"
"06/01/2021","2,274.99","2,706.16","2,829.02","1,765.13","2.75M","-15.93%"
"05/01/2021","2,706.12","2,772.18","4,352.11","2,014.34","8.52M","-2.37%"
"04/01/2021","2,771.94","1,920.69","2,771.94","1,909.88","3.06M","44.50%"
"03/01/2021","1,918.24","1,418.28","1,918.24","1,418.28","918.43K","35.26%"
