Category: All categories

Week,NFT: (Worldwide)
2021-01-03,<1
2021-01-10,<1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,3
2021-02-21,6
2021-02-28,12
2021-03-07,21
2021-03-14,21
2021-03-21,22
2021-03-28,19
2021-04-04,15
2021-04-11,15
2021-04-18,12
2021-04-25,20
2021-05-02,14
2021-05-09,12
2021-05-16,10
2021-05-23,10
2021-05-30,8
2021-06-06,7
2021-06-13,7
2021-06-20,6
2021-06-27,5
2021-07-04,5
2021-07-11,7
2021-07-18,6
2021-07-25,8
2021-08-01,9
2021-08-08,12
2021-08-15,12
2021-08-22,21
2021-08-29,28
2021-09-05,22
2021-09-12,19
2021-09-19,18
2021-09-26,18
2021-10-03,22
2021-10-10,24
2021-10-17,25
2021-10-24,30
2021-10-31,38
2021-11-07,43
2021-11-14,45
2021-11-21,41
2021-11-28,47
2021-12-05,49
2021-12-12,61
2021-12-19,55
2021-12-26,56
2022-01-02,78
2022-01-09,92
2022-01-16,98
2022-01-23,100
2022-01-30,89
2022-02-06,76
2022-02-13,67
2022-02-20,56
2022-02-27,43
2022-03-06,41
2022-03-13,41
2022-03-20,40
2022-03-27,40
2022-04-03,41
2022-04-10,41
2022-04-17,39
2022-04-24,36
2022-05-01,36
2022-05-08,34
2022-05-15,30
2022-05-22,28
2022-05-29,23
2022-06-05,24
2022-06-12,22
2022-06-19,22
2022-06-26,19
2022-07-03,18
2022-07-10,18
2022-07-17,17
2022-07-24,16
2022-07-31,15
2022-08-07,15
2022-08-14,14
2022-08-21,15
2022-08-28,16
2022-09-04,14
2022-09-11,13
2022-09-18,13
2022-09-25,13
2022-10-02,12
2022-10-09,13
2022-10-16,13
2022-10-23,12
2022-10-30,12
2022-11-06,11
2022-11-13,12
2022-11-20,10
2022-11-27,10
2022-12-04,10
2022-12-11,20
2022-12-18,14
2022-12-25,11
2023-01-01,10
2023-01-08,10
2023-01-15,11
2023-01-22,10
2023-01-29,10
